question_id,question,options,answer,answer_index,cot_content,category,src
3206,"The geneticist Mary Lyon hypothesized the existence of structures visible just under the nuclear membrane in mammals, which were later named Barr bodies. Which of the following statement is NOT correct about Barr bodies?","['In the early female embryo, one copy of the X chromosome becomes inactivated in every body cell.'
 'The same chromosome in every cell of a normal female is inactivated.'
 'A male with the XXY genotype will have one Barr body.'
 'Barr bodies consist of highly methylated DNA.']",B,1,,biology,ori_mmlu-high_school_biology
3053,All of the following are examples of events that can prevent interspecific breeding EXCEPT,"['the potential mates experience geographic isolation'
 'the potential mates experience behavioral isolation'
 'the potential mates have different courtship rituals'
 'the potential mates have similar breeding seasons']",D,3,,biology,ori_mmlu-high_school_biology
3476,What prevents the stomach from being digested by itsown secretions?,"['The stomach has a high permeability to hydrogen ions'
 'The presence of beneficial bacteria that neutralize stomach acid'
 'The stomach lining is replaced every month'
 'The stomach lining secretes digestive enzymes only when food is present'
 'The production of bile in the stomach neutralizes the digestive acids'
 'A thick layer of muscle tissue that is resistant to digestive enzymes and acids'
 'The stomach is protected by a layer of fat'
 'The mucus layer, the permeability of the membranes and the continual replacement of the cells comprising the lining all help protect the stomach from being digested by its own secretions.'
 'The stomach secretes a special hormone that prevents digestion of its own tissues'
 'The stomach contents are too acidic for the enzymes to function properly']",H,7,,biology,stemez-Biology
3268,Which of the following is an example of a cline?,"['Males of some species have long antlers to fight other males for females.'
 'A population of moths in a forest has evolved different color patterns depending on the type of tree they inhabit.'
 'A species of fish has developed a unique color pattern in response to changes in water temperature.'
 'Certain species of spiders have evolved different web-building behaviors depending on the availability of prey.'
 'The hybrid tomato plant is stronger and produces better fruit than the pure genotype.'
 'A certain type of beetle exhibits a wide range of body size, with larger individuals found in colder regions.'
 'There are two distinct varieties in one population of snail that inhabits an island in the Pacific Ocean.'
 'In one species of rabbit, the ones that evolved in the cold, snowy north are white, while the ones that evolved in the south are brown.'
 'Some plants produce toxins that deter herbivores.'
 'The frequency of a particular gene in a population of birds varies depending on the altitude of their habitat.']",H,7,,biology,ori_mmlu-high_school_biology
3001,Which of the following is a correct statement about the cohesion-tension theory for the ascent of water in the xylem?,"['Living cells of the phloem provide the main conduit for an ascent of water.'
 'Water moves from a sink region with high hydrostatic pressure to a source region with low hydrostatic pressure.'
 'The cohesion of water molecules is responsible for the formation of embolisms (air bubbles) in the water column.'
 'The cohesion of water molecules prevents tension in the water column.'
 'The evaporation of water from leaf mesophyll cells prevents tension in the water column.'
 'Living cells of the xylem provide the main conduit for an ascent of water.'
 'The cohesion-tension theory states that water rises in the xylem due to the gravitational pull.'
 'The evaporation of water from leaf mesophyll cells generates tension in the water column.']",H,7,,biology,ori_mmlu-college_biology
3039,"Using conditioning, how can one determine the sensitivity of a dog's hearing to sounds of different frequencies?","['Through ultrasound examination' 'Through blood sample analysis'
 'Through direct observation'
 'Through measuring brain wave activity in response to sounds'
 'Through operant conditioning' 'Through x-ray examination'
 'Through auditory brainstem response (ABR) testing'
 'Through genetic testing'
 'Through a controlled environment listening test'
 'Through behavioral observation in natural settings']",E,4,,biology,stemez-Biology
3515,Certain nerve gases are known to cause a breakdown of cholinesterase. How would these gases affect the human body and why?,"['Cause euphoria and hallucinations'
 'Improve memory and cognitive functions'
 'Increase physical strength and endurance'
 'Cause tremors, spasms, or even death'
 'Trigger temporary paralysis without pain'
 'Enhance sensory perception and reflexes'
 'Accelerate healing and tissue regeneration'
 'Promote weight loss and increased metabolism'
 'Induce relaxation and sleepiness'
 'Reduce pain and inflammatory responses']",D,3,,biology,stemez-Biology
3114,"All of the following support the endosymbiotic theory that ancestors of mitochondria and chloroplasts were once independent, free-living prokaryotes EXCEPT:","['Mitochondria and chloroplasts divide independently of the eukaryotic host cell by a process similar to binary fission.'
 'Mitochondria and chloroplasts have ribosomes that more closely resemble those of bacteria than of eukaryotic cells.'
 'Mitochondria and chloroplasts function independently from the eukaryotic host cell.'
 'Mitochondria, chloroplasts, and bacteria have a single, circular chromosome without histones or proteins.']",C,2,,biology,ori_mmlu-high_school_biology
2884,What is meant by the termtransgressivesegregation? How can it be explained?,"['Transgressive segregation is when there is no variability in the F_2 generation.'
 'Transgressive segregation results from the combination of recessive alleles from both parents.'
 'Transgressive segregation is the consistent expression of only dominant alleles in the F_2 generation.'
 'Transgressive segregation is a process where the F_2 generation remains identical to the parent generation.'
 'Transgressive segregation is a process where the F_2 generation shows a reversal of traits compared to the F_1 generation.'
 'Transgressive segregation is seen when the variability of an F_2 generation is so great that some individuals show more extreme development than either parental type.'
 'Transgressive segregation occurs when the F_2 generation shows less variability than the F_1 generation.'
 'Transgressive segregation happens when the F_2 generation shows traits that are intermediate between the two parental types.'
 'Transgressive segregation only occurs when all active alleles are equal.']",F,5,,biology,stemez-Genetics
3271,Which of the following statements concerning a sarcomere of a striated muscle (such as skeletal muscle) is correct?,"['The A band shortens during muscle contraction.'
 'During contraction H zones become elongated.'
 'The proteins troponin and tropomyosin constitute the thick and thin filaments, respectively.'
 'Myosin filaments are found in the I band.'
 'Troponin and tropomyosin are located in the H zone.'
 'Tropomyosin binds to myosin, blocking the actin-binding site.'
 'The thin filaments are composed entirely of myosin.'
 ""In the relaxed position tropomyosin impedes myosin's access to the binding site of actin.""]",H,7,,biology,ori_mmlu-college_biology
2827,How are chromosomal breaks produced? What factors modify these breaks?,"['Chromosomal breaks are produced by chemical reactions'
 'Chromosomal breaks are produced by mechanical stress and are modified by cellular metabolism and DNA repair efficiency.'
 'Chromosomal breaks are produced by low energy radiation'
 'Chromosomal breaks are produced by high energy radiation and modified by factors such as radiation frequency, ion density, length of exposure, and chromosome state.'
 'Chromosomal breaks are produced by thermal fluctuations and are modified by the cell type and surrounding tissue matrix.'
 ""Chromosomal breaks are produced by osmotic pressure changes and are modified by the organism's overall health and immune response.""
 'Chromosomal breaks are produced by natural cellular processes and are modified by age and environmental factors.'
 'Chromosomal breaks are produced by ultraviolet light exposure and modified by the presence of certain genetic mutations and cellular antioxidants.'
 'Chromosomal breaks are modified by temperature and pressure'
 'Chromosomal breaks are produced by magnetic fields and modified by the phase of the cell cycle and nutrient availability.']",D,3,,biology,stemez-Genetics
